sepal_length,sepal_width,petal_length,petal_width,class
8,21,3,2,Iris-setosa
6,14,14,2,Iris-setosa
4,17,25,2,Iris-setosa
3,15,3,2,Iris-setosa
7,22,25,2,Iris-setosa
10,26,27,5,Iris-setosa
3,19,27,3,Iris-setosa
7,19,19,2,Iris-setosa
1,12,13,2,Iris-setosa
6,15,21,1,Iris-setosa
10,23,22,2,Iris-setosa
5,19,4,2,Iris-setosa
5,14,18,1,Iris-setosa
1,14,19,1,Iris-setosa
14,27,3,2,Iris-setosa
13,32,22,5,Iris-setosa
10,26,17,5,Iris-setosa
8,21,22,3,Iris-setosa
13,24,4,3,Iris-setosa
8,24,23,3,Iris-setosa
10,19,1,2,Iris-setosa
8,23,2,5,Iris-setosa
3,22,21,2,Iris-setosa
8,18,3,6,Iris-setosa
5,19,20,2,Iris-setosa
7,14,3,2,Iris-setosa
7,19,23,5,Iris-setosa
9,21,3,2,Iris-setosa
9,19,28,2,Iris-setosa
4,17,18,2,Iris-setosa
5,15,3,2,Iris-setosa
10,19,26,5,Iris-setosa
9,28,21,1,Iris-setosa
11,30,16,2,Iris-setosa
6,15,23,1,Iris-setosa
7,17,2,2,Iris-setosa
11,21,25,2,Iris-setosa
6,15,3,1,Iris-setosa
1,14,25,2,Iris-setosa
8,19,30,2,Iris-setosa
7,21,24,3,Iris-setosa
2,5,15,3,Iris-setosa
1,17,18,2,Iris-setosa
7,21,21,7,Iris-setosa
8,24,23,5,Iris-setosa
5,14,3,3,Iris-setosa
8,24,17,2,Iris-setosa
3,17,2,2,Iris-setosa
9,23,23,2,Iris-setosa
7,18,17,2,Iris-setosa
25,17,19,18,Iris-versicolor
19,17,22,19,Iris-versicolor
24,15,15,19,Iris-versicolor
11,5,20,17,Iris-versicolor
20,11,16,19,Iris-versicolor
13,11,3,17,Iris-versicolor
18,18,2,21,Iris-versicolor
6,6,25,13,Iris-versicolor
21,12,17,17,Iris-versicolor
9,10,19,18,Iris-versicolor
7,1,28,13,Iris-versicolor
15,14,24,19,Iris-versicolor
16,3,4,13,Iris-versicolor
17,12,4,18,Iris-versicolor
12,12,28,17,Iris-versicolor
22,15,23,18,Iris-versicolor
12,14,14,19,Iris-versicolor
14,10,3,13,Iris-versicolor
17,3,3,19,Iris-versicolor
12,7,3,14,Iris-versicolor
15,17,18,23,Iris-versicolor
17,11,27,17,Iris-versicolor
18,7,25,19,Iris-versicolor
17,11,22,15,Iris-versicolor
19,12,5,17,Iris-versicolor
21,14,3,18,Iris-versicolor
23,11,31,18,Iris-versicolor
22,14,5,22,Iris-versicolor
16,12,3,19,Iris-versicolor
13,9,22,13,Iris-versicolor
11,6,3,14,Iris-versicolor
11,6,21,13,Iris-versicolor
14,10,19,15,Iris-versicolor
16,10,24,21,Iris-versicolor
10,14,27,19,Iris-versicolor
16,19,17,21,Iris-versicolor
22,15,17,19,Iris-versicolor
18,5,19,17,Iris-versicolor
12,14,23,17,Iris-versicolor
11,7,3,17,Iris-versicolor
11,9,20,15,Iris-versicolor
17,14,1,18,Iris-versicolor
14,9,31,15,Iris-versicolor
7,5,3,13,Iris-versicolor
12,10,23,17,Iris-versicolor
13,14,21,15,Iris-versicolor
13,12,22,17,Iris-versicolor
17,12,19,17,Iris-versicolor
8,7,2,14,Iris-versicolor
13,11,25,17,Iris-versicolor
18,18,17,32,Iris-virginica
14,10,31,25,Iris-virginica
25,14,29,27,Iris-virginica
18,12,21,23,Iris-virginica
20,14,2,29,Iris-virginica
30,14,23,27,Iris-virginica
6,7,23,22,Iris-virginica
27,12,19,23,Iris-virginica
22,7,28,23,Iris-virginica
26,22,22,32,Iris-virginica
20,17,2,26,Iris-virginica
19,10,3,25,Iris-virginica
23,14,17,27,Iris-virginica
13,7,13,26,Iris-virginica
14,11,25,31,Iris-virginica
19,17,19,30,Iris-virginica
20,14,24,23,Iris-virginica
31,24,2,29,Iris-virginica
31,9,4,30,Iris-virginica
16,3,28,19,Iris-virginica
24,17,3,30,Iris-virginica
12,11,19,26,Iris-virginica
31,11,3,26,Iris-virginica
18,10,26,23,Iris-virginica
22,18,18,27,Iris-virginica
26,17,26,23,Iris-virginica
17,11,21,23,Iris-virginica
17,14,4,23,Iris-virginica
19,11,22,27,Iris-virginica
26,14,3,21,Iris-virginica
28,11,18,25,Iris-virginica
32,24,4,26,Iris-virginica
19,11,3,29,Iris-virginica
18,11,21,19,Iris-virginica
17,9,16,18,Iris-virginica
31,14,19,30,Iris-virginica
18,19,4,31,Iris-virginica
19,15,32,23,Iris-virginica
16,14,4,23,Iris-virginica
24,15,3,27,Iris-virginica
22,15,4,31,Iris-virginica
24,15,27,30,Iris-virginica
14,10,3,25,Iris-virginica
23,17,16,30,Iris-virginica
22,18,3,32,Iris-virginica
22,14,19,30,Iris-virginica
18,7,4,25,Iris-virginica
20,14,11,26,Iris-virginica
17,19,2,30,Iris-virginica
15,14,25,23,Iris-virginica
